Average_Cost_for_two,Table_booking,Online_delivery,delivering_now,Price_range,Aggregate_rating,Rating_color,Rating_text,Votes
700,No,Yes,No,2,3.1,Orange,Average,9
600,No,No,No,2,2.9,Orange,Average,5
500,No,No,No,2,3,Orange,Average,33
200,No,No,No,1,3,Orange,Average,4
650,No,Yes,No,2,3.1,Orange,Average,37
600,No,Yes,No,2,2.6,Orange,Average,17
750,Yes,No,No,2,2.9,Orange,Average,8
500,No,Yes,Yes,2,2.8,Orange,Average,5
150,No,No,No,1,3,Orange,Average,6
500,No,No,No,2,3.6,Yellow,Good,47
400,No,No,No,1,3.8,Yellow,Good,46
350,No,Yes,No,1,3.9,Yellow,Good,37
800,No,Yes,No,2,3.5,Yellow,Good,46
150,No,No,No,1,0,White,Not rated,0
100,No,No,No,1,0,White,Not rated,0
650,No,No,No,2,0,White,Not rated,0
300,No,No,No,1,0,White,Not rated,1
350,No,No,No,1,0,White,Not rated,0
400,No,No,No,1,0,White,Not rated,1
600,No,No,No,2,0,White,Not rated,1
600,No,No,No,2,0,White,Not rated,1
200,No,No,No,1,0,White,Not rated,0
350,No,No,No,1,0,White,Not rated,0
300,No,No,No,1,0,White,Not rated,0
200,No,No,No,1,0,White,Not rated,0
100,No,No,No,1,0,White,Not rated,0
200,No,No,No,1,0,White,Not rated,0
150,No,No,No,1,0,White,Not rated,0
300,No,No,No,1,0,White,Not rated,0
500,No,No,No,2,0,White,Not rated,0
300,No,No,No,1,0,White,Not rated,3
150,No,No,No,1,0,White,Not rated,0
150,No,No,No,1,0,White,Not rated,2
400,No,No,No,1,0,White,Not rated,0
500,No,No,No,2,0,White,Not rated,0
400,No,No,No,1,0,White,Not rated,0
200,No,No,No,1,0,White,Not rated,1
800,No,No,No,2,2.2,Red,Poor,66
400,No,Yes,No,1,2.2,Red,Poor,46
650,No,No,No,2,2.4,Red,Poor,52
300,No,Yes,Yes,1,3.2,Orange,Average,12
600,No,Yes,No,2,2.8,Orange,Average,106
500,No,No,No,2,3.3,Orange,Average,22
300,No,No,No,1,3.4,Orange,Average,94
600,No,Yes,No,2,2.6,Orange,Average,16
200,No,Yes,No,1,2.8,Orange,Average,11
350,No,No,No,1,3.2,Orange,Average,16
450,No,Yes,No,1,3.2,Orange,Average,32
200,No,No,No,1,3.1,Orange,Average,27
550,No,Yes,No,2,3.7,Yellow,Good,45
800,No,Yes,No,2,3.5,Yellow,Good,148
150,No,No,No,1,3.6,Yellow,Good,20
350,No,Yes,No,1,3.2,Orange,Average,13
200,No,No,No,1,2.8,Orange,Average,7
250,No,No,No,1,0,White,Not rated,3
250,No,No,No,1,3.4,Orange,Average,37
700,No,Yes,No,2,3.3,Orange,Average,64
100,No,No,No,1,3.2,Orange,Average,16
450,No,No,No,1,2.7,Orange,Average,28
200,No,No,No,1,3.6,Yellow,Good,28
650,No,No,No,2,4,Green,Very Good,398
400,No,No,No,1,0,White,Not rated,0
300,No,No,No,1,0,White,Not rated,0
200,No,Yes,No,1,0,White,Not rated,0
300,No,No,No,1,0,White,Not rated,0
500,No,Yes,No,2,3.4,Orange,Average,190
1000,No,Yes,Yes,3,2.5,Orange,Average,65
400,No,Yes,No,1,3.3,Orange,Average,39
200,No,Yes,No,1,3.4,Orange,Average,20
500,No,No,No,2,3.3,Orange,Average,17
400,No,Yes,No,1,3.2,Orange,Average,21
550,No,Yes,No,2,3.3,Orange,Average,175
600,No,Yes,No,2,3.4,Orange,Average,138
150,No,No,No,1,3.4,Orange,Average,20
600,No,Yes,No,2,3.4,Orange,Average,51
1000,Yes,Yes,No,3,3.2,Orange,Average,32
750,Yes,No,No,2,3.1,Orange,Average,57
300,No,No,No,1,3.4,Orange,Average,54
400,No,No,No,1,2.9,Orange,Average,41
600,No,Yes,No,2,2.5,Orange,Average,188
400,No,No,No,1,3.1,Orange,Average,68
400,No,No,No,1,2.6,Orange,Average,30
500,No,Yes,No,2,2.9,Orange,Average,58
500,No,Yes,No,2,2.9,Orange,Average,101
800,No,No,No,2,3.3,Orange,Average,16
500,No,Yes,No,2,2.8,Orange,Average,22
1500,Yes,Yes,No,3,2.6,Orange,Average,83
1350,Yes,Yes,No,3,3.4,Orange,Average,155
600,No,No,No,2,3.4,Orange,Average,40
750,Yes,Yes,No,2,3.7,Yellow,Good,30
200,No,Yes,No,1,3.5,Yellow,Good,30
500,No,Yes,No,2,3.5,Yellow,Good,84
1250,No,Yes,No,3,3.7,Yellow,Good,21
400,No,Yes,No,1,3.9,Yellow,Good,22
300,No,No,No,1,3.6,Yellow,Good,57
1100,Yes,No,No,3,3.9,Yellow,Good,28
600,No,Yes,No,2,3.9,Yellow,Good,101
500,No,No,No,2,3.5,Yellow,Good,26
1600,Yes,No,No,3,3.7,Yellow,Good,28
500,No,No,No,2,3.6,Yellow,Good,35
700,No,No,No,2,3.7,Yellow,Good,51
950,No,Yes,No,2,3.5,Yellow,Good,39
300,No,No,No,1,3.5,Yellow,Good,37
700,No,No,No,2,2.3,Red,Poor,70
200,No,Yes,No,1,2.3,Red,Poor,26
450,No,No,No,1,2.4,Red,Poor,42
2500,Yes,No,No,4,4.1,Green,Very Good,56
800,Yes,No,No,2,0,White,Not rated,0
600,No,No,No,2,0,White,Not rated,0
600,No,Yes,No,2,2.8,Orange,Average,7
100,No,No,No,1,2.8,Orange,Average,9
700,No,No,No,2,3.1,Orange,Average,33
600,No,No,No,2,0,White,Not rated,0
250,No,No,No,1,0,White,Not rated,1
150,No,No,No,1,0,White,Not rated,0
300,No,No,No,1,0,White,Not rated,0
600,No,No,No,2,0,White,Not rated,0
600,No,Yes,No,2,3.4,Orange,Average,178
1800,Yes,Yes,No,3,4.5,Dark Green,Excellent,1262
650,Yes,Yes,No,2,3.3,Orange,Average,199
950,No,Yes,No,2,3.4,Orange,Average,483
500,No,Yes,No,2,3.4,Orange,Average,346
850,Yes,Yes,No,2,3.2,Orange,Average,241
450,No,Yes,No,1,3.8,Yellow,Good,158
400,No,Yes,No,1,3.7,Yellow,Good,92
400,No,Yes,No,1,3.6,Yellow,Good,115
300,No,Yes,No,1,3.9,Yellow,Good,94
800,No,Yes,No,2,3.5,Yellow,Good,118
300,No,Yes,No,1,3.8,Yellow,Good,48
800,Yes,Yes,No,2,3.6,Yellow,Good,321
2000,Yes,Yes,No,4,4,Green,Very Good,429
1100,Yes,Yes,No,3,4.1,Green,Very Good,344
700,No,Yes,No,2,4.1,Green,Very Good,103
500,No,Yes,No,2,4.2,Green,Very Good,67
500,No,Yes,No,2,4.2,Green,Very Good,112
700,No,Yes,No,2,4,Green,Very Good,157
500,No,No,No,2,3,Orange,Average,8
400,No,No,No,1,3.3,Orange,Average,21
700,No,Yes,No,2,2.7,Orange,Average,39
450,No,No,No,1,3.2,Orange,Average,27
300,No,No,No,1,3.2,Orange,Average,10
1000,No,No,No,3,3.4,Orange,Average,16
700,No,Yes,No,2,3.4,Orange,Average,20
1000,No,Yes,No,3,2.8,Orange,Average,80
600,No,Yes,No,2,2.8,Orange,Average,42
600,No,Yes,No,2,3.7,Yellow,Good,49
300,No,Yes,No,1,3.7,Yellow,Good,65
550,No,Yes,No,2,3.7,Yellow,Good,52
250,No,Yes,No,1,3.7,Yellow,Good,58
200,No,Yes,No,1,3.7,Yellow,Good,25
300,No,No,No,1,3.7,Yellow,Good,50
600,No,Yes,No,2,3.7,Yellow,Good,125
150,No,No,No,1,3.5,Yellow,Good,26
500,No,Yes,No,2,3.7,Yellow,Good,23
600,No,No,No,2,3.8,Yellow,Good,23
500,No,No,No,2,0,White,Not rated,1
600,No,No,No,2,0,White,Not rated,0
800,No,No,No,2,0,White,Not rated,1
250,No,No,No,1,0,White,Not rated,3
250,No,No,No,1,0,White,Not rated,2
550,No,No,No,2,2.4,Red,Poor,38
1100,No,No,No,3,4.3,Green,Very Good,62
1500,Yes,Yes,No,3,4,Green,Very Good,32
600,No,Yes,No,2,4,Green,Very Good,101
750,No,Yes,No,2,4,Green,Very Good,34
400,No,Yes,No,1,4,Green,Very Good,53
250,No,No,No,1,3.1,Orange,Average,10
500,No,No,No,2,3.1,Orange,Average,5
600,No,Yes,No,2,3.2,Orange,Average,12
400,No,No,No,1,3,Orange,Average,4
500,No,Yes,No,2,2.7,Orange,Average,7
700,No,Yes,No,2,3.1,Orange,Average,35
650,No,Yes,No,2,3.4,Orange,Average,117
700,No,Yes,No,2,3.4,Orange,Average,67
200,No,No,No,1,3.3,Orange,Average,26
400,No,No,No,1,3,Orange,Average,33
500,No,No,No,2,3.3,Orange,Average,59
600,No,No,No,2,2.6,Orange,Average,11
1200,No,Yes,No,3,3.4,Orange,Average,21
300,No,Yes,No,1,3.2,Orange,Average,15
850,No,Yes,No,2,3.6,Yellow,Good,41
650,No,Yes,No,2,3.9,Yellow,Good,67
300,No,Yes,No,1,2.2,Red,Poor,41
700,No,Yes,No,2,4,Green,Very Good,27
2500,Yes,No,No,4,3.3,Orange,Average,57
2400,Yes,No,No,4,3,Orange,Average,17
2000,Yes,No,No,4,3.2,Orange,Average,52
2500,Yes,No,No,4,3,Orange,Average,4
1500,Yes,No,No,3,2.7,Orange,Average,19
800,Yes,No,No,2,3,Orange,Average,6
1600,Yes,No,No,3,3,Orange,Average,10
3000,No,No,No,4,3.2,Orange,Average,17
2500,Yes,No,No,4,3.6,Yellow,Good,94
650,No,No,No,2,3.3,Orange,Average,96
3000,Yes,No,No,4,3.9,Yellow,Good,272
3000,Yes,No,No,4,3.8,Yellow,Good,390
3000,Yes,No,No,4,3.9,Yellow,Good,394
3000,Yes,No,No,4,3.4,Orange,Average,22
3000,No,No,No,4,3.7,Yellow,Good,45
2000,No,No,No,4,3.3,Orange,Average,36
3000,No,No,No,4,3.5,Yellow,Good,27
400,No,Yes,No,1,3.7,Yellow,Good,16
2500,Yes,No,No,4,3.5,Yellow,Good,13
2500,Yes,No,No,4,3.8,Yellow,Good,127
700,No,No,No,2,3.1,Orange,Average,6
2000,No,No,No,4,2.7,Orange,Average,27
600,No,No,No,2,2.8,Orange,Average,23
200,No,No,No,1,3.1,Orange,Average,6
200,No,Yes,No,1,3.3,Orange,Average,12
1000,No,Yes,No,3,2.7,Orange,Average,7
650,No,No,No,2,2.9,Orange,Average,13
800,Yes,No,No,2,3.1,Orange,Average,11
500,No,No,No,2,3.1,Orange,Average,17
700,No,Yes,No,2,3.3,Orange,Average,7
400,No,Yes,No,1,3,Orange,Average,10
500,No,No,No,2,3.3,Orange,Average,10
150,No,No,No,1,2.9,Orange,Average,4
150,No,No,No,1,0,White,Not rated,0
500,No,No,No,2,0,White,Not rated,0
300,No,No,No,1,0,White,Not rated,0
500,No,No,No,2,0,White,Not rated,0
300,No,No,No,1,0,White,Not rated,2
450,No,No,No,1,0,White,Not rated,0
450,No,Yes,Yes,1,0,White,Not rated,2
400,No,Yes,No,1,0,White,Not rated,3
200,No,No,No,1,0,White,Not rated,0
600,No,No,No,2,0,White,Not rated,2
200,No,No,No,1,0,White,Not rated,0
700,No,No,No,2,0,White,Not rated,3
400,No,No,No,1,0,White,Not rated,3
650,No,Yes,No,2,0,White,Not rated,2
200,No,No,No,1,0,White,Not rated,0
250,No,No,No,1,0,White,Not rated,0
200,No,No,No,1,0,White,Not rated,0
150,No,No,No,1,0,White,Not rated,0
400,No,No,No,1,0,White,Not rated,1
300,No,No,No,1,0,White,Not rated,0
600,No,No,No,2,0,White,Not rated,1
400,No,Yes,No,1,0,White,Not rated,1
200,No,No,No,1,0,White,Not rated,0
200,No,No,No,1,0,White,Not rated,0
400,No,Yes,No,1,3.1,Orange,Average,82
600,No,Yes,No,2,3.5,Yellow,Good,302
750,No,No,No,2,3.7,Yellow,Good,276
300,No,No,No,1,0,White,Not rated,0
800,No,Yes,No,2,0,White,Not rated,3
500,No,No,No,2,2.9,Orange,Average,7
600,No,No,No,2,2.8,Orange,Average,8
450,No,No,No,1,3.1,Orange,Average,10
600,No,No,No,2,3.2,Orange,Average,31
600,No,No,No,2,2.9,Orange,Average,5
600,No,No,No,2,3.4,Orange,Average,87
300,No,No,No,1,3,Orange,Average,4
500,No,No,No,2,3.3,Orange,Average,35
300,No,No,No,1,3.2,Orange,Average,25
400,No,Yes,No,1,3.2,Orange,Average,44
500,No,No,No,2,3.3,Orange,Average,27
400,No,Yes,No,1,2.7,Orange,Average,14
200,No,No,No,1,2.5,Orange,Average,11
700,No,Yes,No,2,3.2,Orange,Average,11
600,No,Yes,No,2,3.9,Yellow,Good,43
400,No,Yes,No,1,3.8,Yellow,Good,127
550,No,No,No,2,3.6,Yellow,Good,60
500,No,Yes,No,2,3.7,Yellow,Good,51
500,Yes,No,No,2,3.6,Yellow,Good,45
1300,Yes,Yes,No,3,3.5,Yellow,Good,200
800,Yes,No,No,2,3.6,Yellow,Good,76
500,No,No,No,2,0,White,Not rated,0
300,No,No,No,1,0,White,Not rated,1
250,No,No,No,1,0,White,Not rated,2
200,No,Yes,No,1,2.4,Red,Poor,49
3500,Yes,No,No,4,3.8,Yellow,Good,305
4000,Yes,No,No,4,4,Green,Very Good,219
600,No,No,No,2,2.9,Orange,Average,15
200,No,No,No,1,2.8,Orange,Average,5
250,No,No,No,1,2.9,Orange,Average,6
250,No,Yes,No,1,2.7,Orange,Average,10
400,No,No,No,1,2.8,Orange,Average,14
150,No,Yes,No,1,2.9,Orange,Average,13
100,No,No,No,1,0,White,Not rated,0
250,No,No,No,1,2.9,Orange,Average,6
700,No,Yes,No,2,3.3,Orange,Average,153
150,No,Yes,No,1,3.4,Orange,Average,151
200,No,No,No,1,3.2,Orange,Average,12
400,No,Yes,No,1,3,Orange,Average,89
550,No,Yes,No,2,3.1,Orange,Average,122
400,No,No,No,1,2.7,Orange,Average,83
200,No,No,No,1,2.9,Orange,Average,7
650,No,No,No,2,3.1,Orange,Average,21
200,No,No,No,1,3.5,Yellow,Good,66
600,No,Yes,No,2,3.6,Yellow,Good,69
250,No,Yes,No,1,3.6,Yellow,Good,60
500,No,Yes,No,2,3.6,Yellow,Good,369
400,No,No,No,1,3.7,Yellow,Good,63
150,No,No,No,1,0,White,Not rated,2
400,No,Yes,No,1,2.4,Red,Poor,83
400,No,Yes,No,1,2.2,Red,Poor,142
1300,Yes,No,No,3,3.2,Orange,Average,36
800,No,No,No,3,4.6,Dark Green,Excellent,394
1400,No,No,No,3,3.9,Yellow,Good,360
600,No,No,No,2,4.7,Dark Green,Excellent,126
500,No,No,No,2,4.1,Green,Very Good,290
1400,No,No,No,3,4.2,Green,Very Good,110
750,No,No,No,3,4.1,Green,Very Good,304
1300,No,No,No,3,4.4,Green,Very Good,129
1650,No,No,No,4,4.4,Green,Very Good,222
500,No,No,No,2,4.1,Green,Very Good,124
500,No,No,No,2,4,Green,Very Good,28
1500,No,No,No,4,4.9,Dark Green,Excellent,774
800,No,No,No,3,3.6,Yellow,Good,327
300,No,No,No,1,3.6,Yellow,Good,142
400,No,No,No,2,4.1,Green,Very Good,377
500,No,No,No,2,4.2,Green,Very Good,99
500,No,No,No,2,4.1,Green,Very Good,25
850,No,No,No,3,4.1,Green,Very Good,179
600,No,No,No,2,4.3,Green,Very Good,369
1000,No,No,No,3,4,Green,Very Good,256
700,No,No,No,2,4.3,Green,Very Good,233
700,No,No,No,2,4.3,Green,Very Good,96
1500,Yes,Yes,No,3,4.3,Green,Very Good,3374
1500,No,No,No,3,4.9,Dark Green,Excellent,200
1800,Yes,Yes,No,3,4.7,Dark Green,Excellent,1932
1500,Yes,No,No,3,3.8,Yellow,Good,144
1800,No,Yes,No,3,4.6,Dark Green,Excellent,2553
700,Yes,Yes,No,2,4,Green,Very Good,682
1900,Yes,No,No,3,4.3,Green,Very Good,860
1500,No,No,No,3,4.9,Dark Green,Excellent,5434
600,No,No,No,2,4.8,Dark Green,Excellent,1023
1400,No,No,No,3,4.2,Green,Very Good,79
1200,Yes,No,No,3,4.2,Green,Very Good,221
2000,Yes,Yes,No,4,4.4,Green,Very Good,2218
1200,Yes,No,No,3,4.1,Green,Very Good,594
1100,Yes,No,No,3,4.1,Green,Very Good,1431
1800,No,Yes,No,3,4.2,Green,Very Good,1859
500,No,No,No,2,4.7,Dark Green,Excellent,344
1100,No,Yes,No,3,3.9,Yellow,Good,616
1400,Yes,No,No,3,4.1,Green,Very Good,571
1300,No,No,No,3,3.7,Yellow,Good,238
850,No,No,No,3,4.1,Green,Very Good,100
250,No,No,No,1,4.1,Green,Very Good,152
1950,No,No,No,4,4.1,Green,Very Good,37
700,No,No,No,2,3.9,Yellow,Good,430
1000,No,No,No,3,4.2,Green,Very Good,304
1200,No,No,No,3,4,Green,Very Good,404
800,No,No,No,3,3.8,Yellow,Good,214
850,No,No,No,3,4,Green,Very Good,496
2000,No,No,No,4,3.8,Yellow,Good,209
1500,No,No,No,4,4.3,Green,Very Good,334
650,No,No,No,2,3.1,Orange,Average,26
700,No,No,No,2,3.9,Yellow,Good,502
650,No,No,No,2,3.8,Yellow,Good,69
500,No,No,No,2,3.9,Yellow,Good,69
1500,No,No,No,4,4,Green,Very Good,413
400,No,No,No,2,4.3,Green,Very Good,87
1100,No,No,No,3,4.1,Green,Very Good,181
500,No,No,No,2,4.3,Green,Very Good,171
800,No,No,No,3,4,Green,Very Good,341
750,No,Yes,No,2,4.7,Dark Green,Excellent,1469
1650,No,No,No,3,3.9,Yellow,Good,676
1400,No,Yes,No,3,4,Green,Very Good,582
750,No,Yes,No,2,4.4,Green,Very Good,389
1300,No,Yes,No,3,4.4,Green,Very Good,843
1000,No,No,No,3,4,Green,Very Good,212
1600,No,No,No,3,4.3,Green,Very Good,1478
1500,No,No,No,3,3.9,Yellow,Good,67
1000,No,Yes,No,3,4.2,Green,Very Good,633
1800,No,No,No,3,4,Green,Very Good,916
2300,No,No,No,4,4.5,Dark Green,Excellent,420
2500,No,No,No,4,4.3,Green,Very Good,308
2000,No,Yes,No,4,4.9,Dark Green,Excellent,322
650,No,Yes,No,2,4.2,Green,Very Good,198
700,No,No,No,2,4.1,Green,Very Good,148
800,No,Yes,No,2,4.3,Green,Very Good,798
1500,No,No,No,3,4.3,Green,Very Good,1121
1000,No,No,No,3,2.6,Orange,Average,46
1200,No,Yes,No,3,3.9,Yellow,Good,310
800,No,Yes,No,2,3.7,Yellow,Good,112
550,No,No,No,2,3.3,Orange,Average,148
800,No,No,No,3,3.3,Orange,Average,51
400,No,No,No,2,3.9,Yellow,Good,97
1000,No,No,No,3,4,Green,Very Good,24
1500,No,No,No,4,4,Green,Very Good,54
600,No,No,No,2,3.5,Yellow,Good,43
0,No,No,No,1,3.6,Yellow,Good,34
500,No,No,No,2,3.9,Yellow,Good,97
500,No,No,No,2,4.1,Green,Very Good,87
1000,No,No,No,3,4.1,Green,Very Good,158
0,No,No,No,1,3.9,Yellow,Good,127
1500,No,No,No,4,3.9,Yellow,Good,86
1000,No,No,No,3,3.8,Yellow,Good,97
1500,No,No,No,4,4.3,Green,Very Good,155
350,No,No,No,2,3.4,Orange,Average,49
850,No,No,No,3,3.6,Yellow,Good,106
350,No,No,No,2,4.1,Green,Very Good,171
3000,No,No,No,4,3.9,Yellow,Good,113
1500,No,No,No,4,3.7,Yellow,Good,160
1400,No,No,No,3,4,Green,Very Good,41
1000,No,No,No,3,4.6,Dark Green,Excellent,289
350,No,No,No,1,3.8,Yellow,Good,281
600,No,Yes,No,2,4.4,Green,Very Good,662
600,No,No,No,2,4.2,Green,Very Good,659
1000,No,No,No,3,4.2,Green,Very Good,394
1500,No,No,No,3,4.5,Dark Green,Excellent,213
800,No,No,No,2,3.7,Yellow,Good,277
400,No,Yes,No,1,4,Green,Very Good,246
1000,No,Yes,No,3,3.7,Yellow,Good,145
550,No,No,No,2,3.7,Yellow,Good,105
400,No,No,No,1,4,Green,Very Good,406
700,No,Yes,No,2,4.4,Green,Very Good,333
800,No,No,No,2,4,Green,Very Good,160
650,No,Yes,No,2,4.2,Green,Very Good,482
900,No,No,No,2,4.3,Green,Very Good,722
650,No,No,No,2,4.2,Green,Very Good,146
400,No,No,No,1,3.5,Yellow,Good,348
1000,No,No,No,3,4.3,Green,Very Good,658
700,No,No,No,2,4.3,Green,Very Good,312
600,No,No,No,2,3.6,Yellow,Good,361
1400,No,Yes,No,3,4.6,Dark Green,Excellent,945
1200,No,Yes,No,3,4.2,Green,Very Good,1103
1200,No,No,No,3,4.8,Dark Green,Excellent,1424
1000,No,No,No,3,3.9,Yellow,Good,326
1000,Yes,Yes,No,3,4.4,Green,Very Good,1778
1200,Yes,No,No,3,4.2,Green,Very Good,704
1400,Yes,No,No,3,4.4,Green,Very Good,1484
1800,Yes,Yes,No,3,4,Green,Very Good,911
800,No,No,No,2,4.2,Green,Very Good,2584
800,Yes,Yes,No,2,4.6,Dark Green,Excellent,1219
1500,Yes,No,No,3,3.9,Yellow,Good,1064
1600,No,No,No,3,4.9,Dark Green,Excellent,1753
1050,No,Yes,No,3,3.5,Yellow,Good,4464
900,No,Yes,No,2,4.2,Green,Very Good,5288
1000,No,Yes,No,3,4.3,Green,Very Good,7574
1900,No,No,No,3,4.4,Green,Very Good,2224
1600,No,No,No,3,4.9,Dark Green,Excellent,5966
1500,Yes,No,No,3,3.6,Yellow,Good,1040
1600,Yes,No,No,3,4.1,Green,Very Good,1616
1000,Yes,No,No,3,4,Green,Very Good,1126
300,No,No,No,1,4.9,Dark Green,Excellent,1057
200,No,No,No,1,4.5,Dark Green,Excellent,144
800,No,No,No,3,4.6,Dark Green,Excellent,567
650,No,No,No,2,3.5,Yellow,Good,147
450,No,No,No,2,3.9,Yellow,Good,217
1000,No,No,No,3,3.7,Yellow,Good,514
1100,No,No,No,3,3.9,Yellow,Good,268
450,No,No,No,2,4.3,Green,Very Good,106
1200,No,No,No,3,4.2,Green,Very Good,691
400,No,No,No,2,4.1,Green,Very Good,165
1000,No,No,No,3,4.1,Green,Very Good,80
1300,No,No,No,3,4.3,Green,Very Good,124
1000,No,No,No,3,4.3,Green,Very Good,887
1000,No,No,No,3,4,Green,Very Good,79
400,No,No,No,2,4.4,Green,Very Good,818
400,No,No,No,2,4.1,Green,Very Good,288
1100,No,No,No,3,4.2,Green,Very Good,762
2000,No,No,No,4,4.2,Green,Very Good,149
1600,No,No,No,4,4.7,Dark Green,Excellent,1069
1000,No,No,No,3,4.2,Green,Very Good,411
700,No,No,No,2,4,Green,Very Good,587
800,No,No,No,2,3.6,Yellow,Good,93
1500,No,No,No,3,3.5,Yellow,Good,17
1400,No,No,No,3,4.1,Green,Very Good,191
400,No,No,No,1,3.9,Yellow,Good,109
1400,No,No,No,3,4.2,Green,Very Good,217
800,No,No,No,2,3.7,Yellow,Good,153
1300,No,No,No,3,3.9,Yellow,Good,41
1500,No,No,No,3,4.1,Green,Very Good,178
2000,No,No,No,4,4.3,Green,Very Good,87
700,No,No,No,2,3.6,Yellow,Good,86
1200,No,No,No,3,3.8,Yellow,Good,156
1100,No,No,No,3,4.4,Green,Very Good,138
800,No,No,No,2,4.2,Green,Very Good,261
1200,No,No,No,3,4.4,Green,Very Good,325
1000,No,No,No,3,3.5,Yellow,Good,116
1400,No,No,No,3,3.9,Yellow,Good,80
800,No,No,No,2,4.2,Green,Very Good,210
800,No,No,No,2,4.6,Dark Green,Excellent,196
1600,No,No,No,3,3.8,Yellow,Good,53
1500,No,No,No,3,3.9,Yellow,Good,154
600,No,No,No,2,3.6,Yellow,Good,209
200,No,No,No,1,3.9,Yellow,Good,196
900,No,No,No,3,3.8,Yellow,Good,196
700,No,No,No,2,3.7,Yellow,Good,355
600,No,No,No,2,3.5,Yellow,Good,280
1000,No,No,No,3,3.7,Yellow,Good,104
800,No,No,No,3,3.8,Yellow,Good,290
700,No,No,No,2,3.6,Yellow,Good,275
500,No,No,No,2,4.2,Green,Very Good,281
1500,No,No,No,4,3.5,Yellow,Good,183
500,No,No,No,2,3.6,Yellow,Good,84
750,No,No,No,3,3.9,Yellow,Good,257
600,No,No,No,2,3.5,Yellow,Good,127
1000,No,No,No,3,3.7,Yellow,Good,260
1600,No,No,No,4,3.7,Yellow,Good,193
800,No,No,No,3,4.1,Green,Very Good,245
1000,No,No,No,3,3.7,Yellow,Good,173
700,No,No,No,2,3.8,Yellow,Good,328
700,No,No,No,2,3.9,Yellow,Good,156
500,No,No,No,2,3.7,Yellow,Good,175
550,No,Yes,No,2,4.3,Green,Very Good,99
800,No,No,No,2,4,Green,Very Good,5145
1000,No,No,No,3,4,Green,Very Good,156
850,Yes,No,No,2,3.4,Orange,Average,170
1000,Yes,Yes,No,3,4.7,Dark Green,Excellent,2083
1500,No,No,No,3,4.2,Green,Very Good,1606
1000,Yes,Yes,No,3,4.1,Green,Very Good,2040
1100,No,No,No,3,3.8,Yellow,Good,617
1000,Yes,No,No,3,3.8,Yellow,Good,146
700,No,Yes,No,2,3.9,Yellow,Good,2076
1500,No,No,No,3,4.3,Green,Very Good,1240
1500,No,Yes,No,3,4.2,Green,Very Good,3370
1000,Yes,No,No,3,3.9,Yellow,Good,317
800,No,Yes,No,2,4.5,Dark Green,Excellent,2662
500,No,No,No,2,4.6,Dark Green,Excellent,413
1500,Yes,No,No,3,3.9,Yellow,Good,885
1500,No,No,No,3,4.9,Dark Green,Excellent,3244
1000,Yes,No,No,3,3.8,Yellow,Good,181
1200,No,No,No,3,4,Green,Very Good,536
1000,Yes,Yes,No,3,4.1,Green,Very Good,1295
1000,Yes,Yes,No,3,3.6,Yellow,Good,1515
290,No,No,No,1,3.4,Orange,Average,139
900,No,No,No,3,3.7,Yellow,Good,172
800,No,No,No,3,3.9,Yellow,Good,264
300,No,No,No,1,4.2,Green,Very Good,392
500,No,No,No,2,3.7,Yellow,Good,393
400,No,No,No,2,3.5,Yellow,Good,214
650,No,No,No,2,3.7,Yellow,Good,262
1700,No,No,No,4,3.8,Yellow,Good,162
500,No,No,No,2,3.5,Yellow,Good,160
1600,No,No,No,4,4,Green,Very Good,286
700,No,No,No,2,4,Green,Very Good,304
700,No,No,No,2,3.5,Yellow,Good,127
1000,No,No,No,3,3.7,Yellow,Good,132
1500,No,No,No,4,3.3,Orange,Average,11
650,No,No,No,2,3.6,Yellow,Good,190
700,No,No,No,2,3.6,Yellow,Good,140
650,No,No,No,2,3.8,Yellow,Good,249
550,No,No,No,2,3.7,Yellow,Good,208
1000,No,No,No,3,3.6,Yellow,Good,270
1200,No,No,No,3,3.7,Yellow,Good,183
500,No,No,No,2,3.3,Orange,Average,27
250,No,No,No,1,3.8,Yellow,Good,73
250,No,No,No,1,3.9,Yellow,Good,26
500,No,Yes,No,2,4,Green,Very Good,103
550,No,Yes,No,2,4.3,Green,Very Good,88
400,No,Yes,No,2,3.7,Yellow,Good,201
550,No,Yes,No,2,4,Green,Very Good,185
600,No,Yes,No,2,4.2,Green,Very Good,164
1100,No,No,No,3,4.3,Green,Very Good,270
350,No,No,No,2,3.9,Yellow,Good,140
250,No,Yes,No,1,3.9,Yellow,Good,19
750,No,Yes,No,3,4,Green,Very Good,284
1200,No,Yes,No,3,4.4,Green,Very Good,257
600,No,No,No,2,4.5,Dark Green,Excellent,520
1000,No,No,No,3,4,Green,Very Good,306
1300,No,Yes,No,3,4.2,Green,Very Good,275
1600,No,No,No,4,4.9,Dark Green,Excellent,226
550,No,Yes,No,2,2.2,Red,Poor,147
1000,No,No,No,3,4,Green,Very Good,100
1000,No,No,No,3,3.8,Yellow,Good,45
400,No,No,No,2,3.8,Yellow,Good,76
1000,No,No,No,4,3.6,Yellow,Good,91
600,No,No,No,3,3.6,Yellow,Good,125
800,No,No,No,3,3.5,Yellow,Good,140
400,No,No,No,2,3.6,Yellow,Good,86
1500,No,No,No,4,3.8,Yellow,Good,117
150,No,No,No,1,3.4,Orange,Average,86
600,No,No,No,3,3.4,Orange,Average,162
700,No,No,No,3,3.4,Orange,Average,177
